id,timestamp,wtgid,siteid,tditag,value,insert_time
984273,2020-02-20 13:10:00.000000,ANH01A01,ANH01,Tag1,9,2020-02-19 17:40:51.072
984274,2020-02-20 13:10:00.000000,ANH01A02,ANH01,Tag1,29,2020-02-19 17:40:51.072
984275,2020-02-20 13:10:00.000000,ANH01A03,ANH01,Tag1,61,2020-02-19 17:40:51.072
984276,2020-02-20 13:10:00.000000,ANH01B01,ANH01,Tag1,57,2020-02-19 17:40:51.072
984277,2020-02-20 13:10:00.000000,ANH01B02,ANH01,Tag1,38,2020-02-19 17:40:51.072
984278,2020-02-20 13:10:00.000000,ANH01B03,ANH01,Tag1,27,2020-02-19 17:40:51.072
984279,2020-02-20 13:10:00.000000,ANH01C01,ANH01,Tag1,97,2020-02-19 17:40:51.072
984280,2020-02-20 13:10:00.000000,ANH01C02,ANH01,Tag1,97,2020-02-19 17:40:51.072
984281,2020-02-20 13:10:00.000000,ANH01C03,ANH01,Tag1,89,2020-02-19 17:40:51.072
984282,2020-02-20 13:10:00.000000,ANH01A01,ANH01,Tag2,on,2020-02-19 17:40:51.072
984283,2020-02-20 13:10:00.000000,ANH01A02,ANH01,Tag2,on,2020-02-19 17:40:51.072
984284,2020-02-20 13:10:00.000000,ANH01A03,ANH01,Tag2,off,2020-02-19 17:40:51.072
984285,2020-02-20 13:10:00.000000,ANH01B01,ANH01,Tag2,on,2020-02-19 17:40:51.072
984286,2020-02-20 13:10:00.000000,ANH01B02,ANH01,Tag2,on,2020-02-19 17:40:51.072
984287,2020-02-20 13:10:00.000000,ANH01B03,ANH01,Tag2,on,2020-02-19 17:40:51.072
984288,2020-02-20 13:10:00.000000,ANH01C01,ANH01,Tag2,on,2020-02-19 17:40:51.072
984289,2020-02-20 13:10:00.000000,ANH01C02,ANH01,Tag2,on,2020-02-19 17:40:51.072
984290,2020-02-20 13:10:00.000000,ANH01C03,ANH01,Tag2,on,2020-02-19 17:40:51.072
984291,2020-02-20 13:10:00.000000,ANH01A01,ANH01,Tag3,false,2020-02-19 17:40:51.072
984292,2020-02-20 13:10:00.000000,ANH01A02,ANH01,Tag3,false,2020-02-19 17:40:51.072
984293,2020-02-20 13:10:00.000000,ANH01A03,ANH01,Tag3,true,2020-02-19 17:40:51.072
984294,2020-02-20 13:10:00.000000,ANH01B01,ANH01,Tag3,true,2020-02-19 17:40:51.072
984295,2020-02-20 13:10:00.000000,ANH01B02,ANH01,Tag3,false,2020-02-19 17:40:51.072
984296,2020-02-20 13:10:00.000000,ANH01B03,ANH01,Tag3,false,2020-02-19 17:40:51.072
984297,2020-02-20 13:10:00.000000,ANH01C01,ANH01,Tag3,false,2020-02-19 17:40:51.072
984298,2020-02-20 13:10:00.000000,ANH01C02,ANH01,Tag3,true,2020-02-19 17:40:51.072
