id,timestamp,wtgid,siteid,tditag,value,insert_time
984327,2020-02-20 13:20:00.000000,ANH01A01,ANH01,Tag1,8,2020-02-19 17:40:51.072
984328,2020-02-20 13:20:00.000000,ANH01A02,ANH01,Tag1,43,2020-02-19 17:40:51.072
984329,2020-02-20 13:20:00.000000,ANH01A03,ANH01,Tag1,16,2020-02-19 17:40:51.072
984330,2020-02-20 13:20:00.000000,ANH01B01,ANH01,Tag1,2,2020-02-19 17:40:51.072
984331,2020-02-20 13:20:00.000000,ANH01B02,ANH01,Tag1,93,2020-02-19 17:40:51.072
984332,2020-02-20 13:20:00.000000,ANH01B03,ANH01,Tag1,66,2020-02-19 17:40:51.072
984333,2020-02-20 13:20:00.000000,ANH01C01,ANH01,Tag1,89,2020-02-19 17:40:51.072
984334,2020-02-20 13:20:00.000000,ANH01C02,ANH01,Tag1,75,2020-02-19 17:40:51.072
984335,2020-02-20 13:20:00.000000,ANH01C03,ANH01,Tag1,47,2020-02-19 17:40:51.072
984336,2020-02-20 13:20:00.000000,ANH01A01,ANH01,Tag2,on,2020-02-19 17:40:51.072
984337,2020-02-20 13:20:00.000000,ANH01A02,ANH01,Tag2,on,2020-02-19 17:40:51.072
984338,2020-02-20 13:20:00.000000,ANH01A03,ANH01,Tag2,on,2020-02-19 17:40:51.072
984339,2020-02-20 13:20:00.000000,ANH01B01,ANH01,Tag2,on,2020-02-19 17:40:51.072
984340,2020-02-20 13:20:00.000000,ANH01B02,ANH01,Tag2,on,2020-02-19 17:40:51.072
984341,2020-02-20 13:20:00.000000,ANH01B03,ANH01,Tag2,on,2020-02-19 17:40:51.072
984342,2020-02-20 13:20:00.000000,ANH01C01,ANH01,Tag2,on,2020-02-19 17:40:51.072
984343,2020-02-20 13:20:00.000000,ANH01C02,ANH01,Tag2,on,2020-02-19 17:40:51.072
984344,2020-02-20 13:20:00.000000,ANH01C03,ANH01,Tag2,on,2020-02-19 17:40:51.072
984345,2020-02-20 13:20:00.000000,ANH01A01,ANH01,Tag3,true,2020-02-19 17:40:51.072
984346,2020-02-20 13:20:00.000000,ANH01A02,ANH01,Tag3,false,2020-02-19 17:40:51.072
984347,2020-02-20 13:20:00.000000,ANH01A03,ANH01,Tag3,false,2020-02-19 17:40:51.072
984348,2020-02-20 13:20:00.000000,ANH01B01,ANH01,Tag3,true,2020-02-19 17:40:51.072
984349,2020-02-20 13:20:00.000000,ANH01B02,ANH01,Tag3,false,2020-02-19 17:40:51.072
984350,2020-02-20 13:20:00.000000,ANH01B03,ANH01,Tag3,true,2020-02-19 17:40:51.072
984351,2020-02-20 13:20:00.000000,ANH01C01,ANH01,Tag3,true,2020-02-19 17:40:51.072
984352,2020-02-20 13:20:00.000000,ANH01C02,ANH01,Tag3,true,2020-02-19 17:40:51.072
984353,2020-02-20 13:20:00.000000,ANH01C03,ANH01,Tag3,true,2020-02-19 17:40:51.072
984354,2020-02-20 13:20:00.000000,ANH01A01,ANH01,Tag4,2020-02-19 17:40:51.072923,2020-02-19 17:40:51.072
984355,2020-02-20 13:20:00.000000,ANH01A02,ANH01,Tag4,1970-01-01 00:00:00,2020-02-19 17:40:51.072
984356,2020-02-20 13:20:00.000000,ANH01A03,ANH01,Tag4,2020-02-19 17:40:51.072923,2020-02-19 17:40:51.072
984357,2020-02-20 13:20:00.000000,ANH01B01,ANH01,Tag4,1970-01-01 00:00:00,2020-02-19 17:40:51.072
984358,2020-02-20 13:20:00.000000,ANH01B02,ANH01,Tag4,2020-02-19 17:40:51.072923,2020-02-19 17:40:51.072
984359,2020-02-20 13:20:00.000000,ANH01B03,ANH01,Tag4,1970-01-01 00:00:00,2020-02-19 17:40:51.072
984360,2020-02-20 13:20:00.000000,ANH01C01,ANH01,Tag4,2020-02-19 17:40:51.072923,2020-02-19 17:40:51.072
